index, frame_type, GPU Time, time.time()
228,0,5570457,1740586845.854441
229,0,5595325,1740586845.885708
230,0,5620193,1740586845.906055
231,0,5645061,1740586845.929142
232,0,5669930,1740586845.955515
233,0,5694798,1740586845.979147
234,0,5719666,1740586846.007111
235,0,5744536,1740586846.029727
236,0,5769402,1740586846.054372
237,0,5794270,1740586846.079462
238,0,5819138,1740586846.104673
239,0,5844006,1740586846.130664
240,0,5868875,1740586846.155822
241,0,5893743,1740586846.177777
242,0,5918611,1740586846.204364
243,0,5943479,1740586846.227575
244,2,-1000,1740586846.250001
245,1,5968347,1740586846.261235
246,0,5993217,1740586846.281185
247,0,6018083,1740586846.303213
248,0,6042951,1740586846.326811
249,0,6067822,1740586846.352621
250,0,6092689,1740586846.377684
251,0,6117556,1740586846.402446
252,0,6142424,1740586846.426187
253,0,6167292,1740586846.451245
254,0,6192160,1740586846.477657
255,0,6217029,1740586846.505665
256,0,6241897,1740586846.528486
257,0,6266765,1740586846.551854
258,0,6291632,1740586846.576511
259,0,6316503,1740586846.602398
260,0,6341369,1740586846.628165
261,0,6366237,1740586846.652106
262,0,6391105,1740586846.676338
263,0,6415973,1740586846.702487
264,0,6440841,1740586846.726162
265,0,6465710,1740586846.754153
266,0,6490579,1740586846.776108
267,0,6515446,1740586846.802474
268,0,6540314,1740586846.826707
269,0,6565184,1740586846.850618
270,0,6590050,1740586846.879567
271,0,6614919,1740586846.899568
272,0,6639787,1740586846.927128
273,0,6664654,1740586846.951775
274,0,6689523,1740586846.974693
275,0,6714391,1740586847.001437
276,0,6739259,1740586847.024107
277,0,6764140,1740586847.050435
278,0,6788995,1740586847.075193
279,0,6813863,1740586847.098596
280,0,6838731,1740586847.127281
281,0,6863599,1740586847.148353
282,0,6888469,1740586847.174738
283,0,6913335,1740586847.201103
284,0,6938204,1740586847.223598
285,0,6963073,1740586847.251222
286,0,6987940,1740586847.274224
287,0,7012808,1740586847.300270
288,0,7037676,1740586847.324738
289,0,7062544,1740586847.346704
290,0,7087412,1740586847.375927
291,0,7112281,1740586847.395917
292,0,7137149,1740586847.422357
293,0,7162016,1740586847.446666
294,0,7186885,1740586847.470959
295,0,7211753,1740586847.498540
296,0,7236621,1740586847.520101
297,0,7261489,1740586847.546866
298,0,7286357,1740586847.571092
299,0,7311225,1740586847.595609
300,0,7336093,1740586847.624403
